鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物)+車位,臺北市中正區水源路61~90號,16.1,商,,,1081019,土地2建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990607,211.54000000000002,3,2,3,有,有,36140000,170842,坡道機械,43.0,0,,RPTNMLMKKIOFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區試院路91~120號,45.65,住,,,1081125,土地2建物1車位2,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040522,297.73,2,1,2,有,有,35500000,119236,坡道平面,82.06,0,,RPQOMLSJJHPFFAA77CA
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段364巷1~30號,38.02,住,,,1081104,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010625,176.04,3,2,2,有,有,25200000,143149,坡道平面,0.0,0,,RPWOMLLKKIOFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段121~150號,9.32,商,,,1081118,土地2建物1車位1,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,136.68,2,2,1,有,有,21900000,204366,坡道平面,43.22,2800000,"土地,建物交易總價內含車位總價2800000萬",RPVNMLNKKIOFFBA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街31~60號,48.59,住,,,1081120,土地1建物1車位2,十三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031212,310.11,4,2,2,有,有,66000000,212828,坡道平面,86.66,0,,RPRQMLOLKIOFFCA18CA
南港區,房地(土地+建物)+車位,臺北市南港區中坡南路49巷1~30號,43.08,住,,,1081125,土地1建物3車位1,二層，電梯樓梯間,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841115,191.93,4,2,2,有,有,33000000,171947,坡道平面,0.0,3000000,,RPTPMLLKKIOFFDA97CA
松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,15.57,商,,,1081112,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680521,123.3,3,2,2,有,有,26000000,210868,,0.0,0,,RPOPMLMKKIOFFDA57CA
南港區,房地(土地+建物),臺北市南港區經貿二路235巷31~60號,55.76,住,,,1081028,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,343.1,0,0,0,無,無,67880000,197843,,0.0,0,,RPPNMLKKJHPFFDA17CA
北投區,房地(土地+建物)+車位,臺北市北投區大度路三段271~300號,12.45,住,,,1081103,土地3建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971013,121.82000000000001,2,1,1,有,有,14500000,119038,坡道平面,40.01,0,,RPQNMLMKKIOFFEA67CA
北投區,房地(土地+建物)+車位,臺北市北投區光明路241~270號,12.15,其他,,,1081120,土地1建物1車位1,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980818,127.86000000000001,1,1,1,有,有,16500000,179597,坡道平面,46.01,1800000,含增建或未登記建物。;,RPPPMLMKKIOFFEA77CA
